"","year","song","artist","peak_pos","weeks_on_chart","instance"
"190",2014,"Achy Breaky 2","Buck 22 Featuring Billy Ray Cyrus",80,1,1
"191",2016,"Acquainted","The Weeknd",100,18,2
"192",2005,"Across The Universe","Various Artists",22,1,1
"193",2003,"Act A Fool","Ludacris",72,11,1
"194",2013,"Act Right","Yo Gotti Featuring Jeezy & YG",100,1,1
"195",2019,"Act Up","City Girls",77,15,1
"196",2009,"Addicted","Saving Abel",96,34,1
"197",2003,"Addicted","Simple Plan",73,19,1
"198",2002,"Addictive","Truth Hurts Featuring Rakim",71,20,1
"199",2015,"Adore","Cashmere Cat Featuring Ariana Grande",93,1,1
"200",2014,"Adore You","Miley Cyrus",42,18,2
"201",2013,"Adorn","Miguel",82,33,1
"202",2014,"Adrenalina","Wisin Featuring Jennifer Lopez & Ricky Martin",94,1,1
"203",2016,"Adventure Of A Lifetime","Coldplay",55,20,1
"204",2002,"Aerials","System Of A Down",67,20,1
"205",2014,"Afire Love","Ed Sheeran",37,1,1
"206",2011,"Afraid To Sleep","Vicci Martinez",78,1,1
"207",2018,"Africa","Weezer",89,15,2
"208",2018,"After Dark","Drake Featuring Static Major & Ty Dolla $ign",41,3,1
"209",2011,"After Midnight","Blink-182",88,1,1
"210",2001,"After Party","Koffee Brown",98,20,1
"211",2005,"Again","Faith Evans",90,14,1
"212",2016,"Again","Fetty Wap",33,26,1
"213",2001,"Again","Lenny Kravitz",72,32,1
"214",2006,"Again And Again","Jewel",80,2,1
"215",2012,"Ai Se Eu Te Pego","Michel Telo",98,12,2
"216",2010,"Ain't Back Yet","Kenny Chesney",73,13,1
"217",2009,"Ain't I","Yung L.A. Featuring Young Dro & T.I.",100,19,1
"218",2014,"Ain't It Fun","Paramore",96,24,1
"219",2002,"Ain't It Funny","Jennifer Lopez Featuring Ja Rule",74,27,1
"220",2010,"Ain't Leavin Without You","Jaheim",98,4,2
"221",2016,"Ain't My Fault","Zara Larsson",85,7,1
"222",2006,"Ain't No Other Man","Christina Aguilera",19,20,1
"223",2009,"Ain't No Rest For The Wicked","Cage The Elephant",99,11,3
"224",2016,"Ain't No Stopping Us Now","Kane Brown",88,1,1
"225",2009,"Ain't No Sunshine","Kris Allen",37,2,1
"226",2001,"Ain't Nothing 'Bout You","Brooks & Dunn",77,20,1
"227",2013,"Ain't Worried About Nothin","French Montana",97,13,1
"228",2015,"Ain't Worth The Whiskey","Cole Swindell",99,19,1
"229",2016,"Ain't Your Mama","Jennifer Lopez",92,2,2
"230",2003,"Air Force Ones","Nelly Featuring Kyjuan, Ali & Murphy Lee",69,20,1
"231",2010,"Airplanes","B.o.B Featuring Hayley Williams",12,30,1
"232",2018,"Album Of The Year (Freestyle)","J. Cole",87,1,1
"233",2005,"Alcohol","Brad Paisley",89,18,1
"234",2010,"Alejandro","Lady Gaga",72,23,1
"235",2010,"Alice","Avril Lavigne",71,3,1
"236",2013,"Alive","Krewella",99,20,1
"237",2002,"Alive","P.O.D.",76,20,1
"238",2016,"Alive","Sia",99,3,3
"239",2015,"All About It","Hoodie Allen Featuring Ed Sheeran",100,4,1
"240",2015,"All About That Bass","Meghan Trainor",84,47,1
"241",2010,"All About Tonight","Blake Shelton",98,19,1
"242",2008,"All Around Me","Flyleaf",94,20,2
"243",2013,"All Around The World","Justin Bieber Featuring Ludacris",96,9,3
"244",2013,"All Bad","Justin Bieber",50,1,1
"245",2005,"All Because Of You","Marques Houston Featuring Young Rome",91,10,1
"246",2011,"All By Myself","Glee Cast",87,1,1
"247",2017,"All Da Smoke","Future & Young Thug",77,1,1
"248",2015,"All Day","Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",15,15,1
"249",2015,"All Eyes On You","Meek Mill Featuring Chris Brown & Nicki Minaj",81,20,1
"250",2016,"All Eyez","The Game Featuring Jeremih",100,5,2
"251",2002,"All Eyez On Me","Monica",70,7,1
"252",2004,"All Falls Down","Kanye West Featuring Syleena Johnson",75,20,1
"253",2007,"All For One","High School Musical 2 Cast",92,2,1
"254",2001,"All For You","Janet",14,22,1
"255",2018,"All Girls Are The Same","Juice WRLD",92,20,1
"256",2013,"All Gold Everything","Trinidad James",96,20,1
"257",2007,"All Good Things (Come To An End)","Nelly Furtado",99,4,2
"258",2001,"All Good?","De La Soul Featuring Chaka Khan",96,3,1
"259",2016,"All I Ask","Adele",77,1,1
"260",2009,"All I Ask For Anymore","Trace Adkins",99,2,1
"261",2010,"All I Do Is Win","DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",64,24,1
"262",2008,"All I Ever Wanted","Chuck Wicks",95,4,1
"263",2010,"All I Ever Wanted","Kelly Clarkson",99,6,1
"264",2003,"All I Have","Jennifer Lopez Featuring LL Cool J",25,21,1
"265",2016,"All I Know","The Weeknd Featuring Future",46,2,1
"266",2003,"All I Need","Fat Joe Featuring Tony Sunshine & Armageddon",99,8,1
"267",2019,"All I Want For Christmas Is You","Mariah Carey",83,29,8
"268",2011,"All I Want For Christmas Is You","Michael Buble",99,1,1
"269",2011,"All I Want For Christmas Is You (SuperFestive!)","Justin Bieber Duet With Mariah Carey",86,1,1
"270",2011,"All I Want Is You","Miguel Featuring J. Cole",91,14,1
"271",2008,"All I Want To Do","Sugarland",91,16,1
"272",2016,"All In My Head (Flex)","Fifth Harmony Featuring Fetty Wap",78,18,1
"273",2005,"All Jacked Up","Gretchen Wilson",97,11,1
"274",2013,"All Kinds Of Kinds","Miranda Lambert",97,5,1
"275",2014,"All Me","Drake Featuring 2 Chainz & Big Sean",20,20,1
"276",2018,"All Mine","Kanye West",11,9,1
"277",2019,"All My Friends","21 Savage",67,2,1
"278",2007,"All My Friends Say","Luke Bryan",90,13,1
"279",2003,"All My Life","Foo Fighters",71,20,1
"280",2016,"All Night","Beyonce",38,2,1
"281",2014,"All Of Me","John Legend",97,59,3
"282",2011,"All Of The Lights","Kanye West",92,25,2
"283",2018,"All On Me","Devin Dawson",98,19,3
"284",2001,"All Or Nothing","O-Town",60,20,1
"285",2010,"All Or Nothing","Theory Of A Deadman",99,1,1
"286",2010,"All Over Me","Josh Turner",97,18,1
"287",2013,"All Over The Road","Easton Corbin",98,20,1
"288",2008,"All Summer Long","Hit Masters",65,5,1
"289",2008,"All Summer Long","Kid Rock",80,20,1
"290",2009,"All Summer Long","The Rock Heroes",53,15,2
"291",2014,"All That Matters","Justin Bieber",53,8,2
"292",2009,"All The Above","Maino Featuring T-Pain",54,20,1
"293",2019,"All The Good Girls Go To Hell","Billie Eilish",46,2,1
"294",2017,"All The Pretty Girls","Kenny Chesney",98,14,1
"295",2010,"All The Right Moves","OneRepublic",58,34,1
"296",2000,"All The Small Things","Blink-182",52,23,1
"297",2018,"All The Stars","Kendrick Lamar & SZA",43,21,1
"298",2003,"All The Things She Said","t.A.T.u.",85,20,1
"299",2013,"All The Way Home","Tamar Braxton",96,1,1
"300",2010,"All The Way Turnt Up","Roscoe Dash Featuring Soulja Boy Tell'em",100,12,1
"301",2016,"All The Way Up","Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",91,20,1
"302",2005,"All These Things That I've Done","The Killers",95,14,1
"303",2000,"All Things Considered","Yankee Grey",55,20,1
"304",2017,"All Time Low","Jon Bellion",82,22,1
"305",2019,"All To Myself","Dan + Shay",96,6,1
"306",2012,"All Too Well","Taylor Swift",80,1,1
"307",2017,"All We Know","The Chainsmokers Featuring Phoebe Ryan",18,16,1
"308",2002,"All You Wanted","Michelle Branch",67,28,1
"309",2015,"All Your Fault","Big Sean Featuring Kanye West",80,1,1
"310",2012,"All Your Life","The Band Perry",95,23,1
"311",2008,"All-American Girl","Carrie Underwood",84,20,1
"312",2005,"Almost","Bowling For Soup",95,20,1
"313",2003,"Almost Home","Craig Morgan",71,14,1
"314",2013,"Almost Is Never Enough","Ariana Grande & Nathan Sykes",84,2,2
"315",2017,"Almost Like Praying","Lin-Manuel Miranda Featuring Artists For Puerto Rico",20,1,1
"316",2018,"Almost Slipped","Meek Mill",73,1,1
"317",2009,"Alone","Glee Cast Featuring Kristin Chenoweth",51,1,1
"318",2018,"Alone","Halsey Featuring Big Sean & Stefflon Don",100,14,2
"319",2004,"Alone","Lasgo",95,14,1
"320",2019,"Alone","Marshmello",94,11,3
"321",2014,"Alone Together","Fall Out Boy",96,8,1
"322",2012,"Alone With You","Jake Owen",90,20,1
"323",2015,"Already Callin' You Mine","Parmalee",100,3,2
"324",2010,"Already Gone","Kelly Clarkson",89,31,2
"325",2009,"Already Gone","Sugarland",99,19,1
"326",2009,"Alright","Darius Rucker",91,20,1
"327",2015,"Alright","Kendrick Lamar",83,14,2
"328",2003,"Always","Saliva",70,20,1
"329",2008,"Always Be My Baby","David Cook",67,1,1
"330",2002,"Always On Time","Ja Rule Featuring Ashanti",84,27,1
"331",2006,"Always On Your Side","Sheryl Crow & Sting",35,8,1
"332",2019,"Always Remember Us This Way","Lady Gaga",47,9,2
"333",2009,"Always Strapped","Birdman Featuring Lil Wayne",98,17,2
"334",2009,"Always The Love Songs","Eli Young Band",97,11,1
"335",2007,"Alyssa Lies","Jason Michael Carroll",86,12,1
"336",2011,"Am I The Only One","Dierks Bentley",89,20,1
"337",2014,"Am I Wrong","Nico & Vinz",91,31,1
"338",2002,"AM To PM","Christina Milian",99,20,1
"339",2007,"Amarillo Sky","Jason Aldean",100,20,1
"340",2000,"Amazed","Lonestar",45,55,2
"341",2003,"Amazing","Josh Kelley",96,20,1
"342",2009,"Amazing","Kanye West Featuring Young Jeezy",89,5,2
"343",2011,"Ambition","Wale Featuring Meek Mill & Rick Ross",81,1,1
"344",2012,"Amen","Edens Edge",99,6,2
"345",2012,"Amen","Meek Mill Featuring Drake",86,18,1
"346",2009,"America's Suitehearts","Fall Out Boy",78,1,1
"347",2005,"American Baby","Dave Matthews Band",19,11,1
"348",2008,"American Boy","Estelle Featuring Kanye West",98,30,1
"349",2008,"American Boy","Studio All-Stars",85,3,1
"350",2002,"American Child","Phil Vassar",78,15,1
"351",2016,"American Country Love Song","Jake Owen",89,17,2
"352",2013,"American Girl","Bonnie McKee",100,6,1
"353",2010,"American Honey","Lady Antebellum",97,20,3
"354",2005,"American Idiot","Green Day",77,20,1
"355",2014,"American Kids","Kenny Chesney",82,20,1
"356",2003,"American Life","Madonna",90,8,1
"357",2015,"American Oxygen","Rihanna",91,4,1
"358",2000,"American Pie","Madonna",43,9,1
"359",2009,"American Ride","Toby Keith",54,16,1
"360",2010,"American Saturday Night","Brad Paisley",100,15,2
"361",2004,"American Soldier","Toby Keith",69,20,1
"362",2010,"American Star","Lil Wayne Featuring Shanell AKA SNL",91,1,1
"363",2014,"Amnesia","5 Seconds Of Summer",16,20,1
"364",2005,"Amor Eterno","Cristian Castro",78,1,1
"365",2019,"Amor Genuino","Ozuna",92,1,1
"366",2005,"An Honest Mistake","The Bravery",97,1,1
"367",2015,"Anaconda","Nicki Minaj",19,22,1
"368",2005,"And I","Ciara",96,1,1
"369",2009,"And I Am Telling You I'm Not Going","Glee Cast",94,1,1
"370",2007,"And I Am Telling You I'm Not Going","Jennifer Hudson",98,13,1
"371",2005,"And Then What","Young Jeezy Featuring Mannie Fresh",91,11,1
"372",2011,"Angel","Akon",96,10,5
"373",2003,"Angel","Amanda Perez",64,20,1
"374",2013,"Angel","Jacquie Lee",87,1,1
"375",2011,"Angel","Javier Colon",64,1,1
"376",2001,"Angel","Lionel Richie",70,18,1
"377",2008,"Angel","Natasha Bedingfield",93,8,1
"378",2001,"Angel","Shaggy Featuring Rayvon",81,28,1
"379",2012,"Angel Eyes","Love And Theft",98,20,1
"380",2014,"Angel In Blue Jeans","Train",91,3,1
"381",2006,"Angelito","Don Omar",99,4,2
"382",2008,"Angels","David Archuleta",89,1,1
"383",2000,"Angels","Robbie Williams",55,19,1
"384",2001,"Angels In Waiting","Tammy Cochran",79,11,1
"385",2009,"Angels On The Moon","Thriving Ivory",92,9,1
"386",2001,"Angry All The Time","Tim McGraw",70,20,1
"387",2011,"Animal","Glee Cast",62,1,1
"388",2011,"Animal","Neon Trees",100,36,1
"389",2006,"Animal I Have Become","Three Days Grace",95,20,2
"390",2015,"Animals","Maroon 5",86,33,1
"391",2014,"Animals","Martin Garrix",86,34,1
"392",2006,"Animals","Nickelback",100,3,3
"393",2007,"Anna-Molly","Incubus",66,9,1
"394",2007,"Anonymous","Bobby Valentino Featuring Timbaland",52,12,1
"395",2000,"Another Dumb Blonde","Hoku",69,14,1
"396",2000,"Another Nine Minutes","Yankee Grey",86,8,1
"397",2010,"Another One Bites The Dust","Glee Cast",79,1,1
"398",2004,"Another Postcard (Chimps)","Barenaked Ladies",95,15,1
"399",2012,"Another Round","Fat Joe Featuring Chris Brown",83,6,1
"400",2007,"Another Side Of You","Joe Nichols",100,2,1
"401",2008,"Another Try","Josh Turner Featuring Trisha Yearwood",100,3,1
"402",2008,"Another Way to Die","Jack White & Alicia Keys",81,2,1
"403",2010,"Another Way To Die","Disturbed",81,1,1
"404",2016,"Antidote","Travis Scott",75,26,1
"405",2017,"Any Ol' Barstool","Jason Aldean",93,18,1
"406",2002,"Any Other Night","Sharissa",99,14,1
"407",2010,"Any Way You Want It/Lovin' Touchin' Squeezin'","Glee Cast",58,1,1
"408",2018,"Anybody","Young Thug Featuring Nicki Minaj",89,1,1
"409",2008,"Anyone Else But You","Michael Cera & Ellen Page",91,2,1
"410",2002,"Anything","Jaheim Featuring Next",75,20,1
"411",2000,"Anything","JAY-Z",72,8,1
"412",2005,"Anything But Mine","Kenny Chesney",83,20,1
"413",2013,"Anything Could Happen","Ellie Goulding",75,20,1
"414",2015,"Anything Goes","Florida Georgia Line",98,18,2
"415",2009,"Anything Goes","Randy Houser",100,5,1
"416",2011,"Anything Like Me","Brad Paisley",100,19,1
"417",2007,"Anyway","Martina McBride",99,16,1
"418",2013,"Anywhere With You","Jake Owen",92,20,1
"419",2018,"Apes**t","The Carters",13,15,1
"420",2009,"Apologize","Kris Allen",66,1,1
"421",2008,"Apologize","Timbaland Featuring OneRepublic",95,47,2
"422",2015,"Apparently","J. Cole",90,16,1
"423",2014,"Applause","Lady Gaga",6,23,1
"424",2009,"Arab Money","Busta Rhymes Featuring Ron Browz",90,6,1
"425",2002,"Are We Cuttin'","Pastor Troy Featuring Ms. Jade",97,5,1
"426",2004,"Are You Gonna Be My Girl","Jet",73,25,1
"427",2011,"Are You Gonna Kiss Me Or Not","Thompson Square",92,20,1
"428",2012,"Are You Happy Now?","Cassadee Pope",95,1,1
"429",2003,"Are You Happy Now?","Michelle Branch",91,20,1
"430",2001,"Area Codes","Ludacris Featuring Nate Dogg",84,17,1
"431",2019,"Armed And Dangerous","Juice WRLD",44,17,1
"432",2011,"Arms","Christina Perri",97,2,2
"433",2019,"Arms Around You","XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee",28,17,1
"434",2012,"Around My Way (Freedom Ain't Free)","Lupe Fiasco",76,1,1
"435",2001,"Around The World (La La La La La)","ATC",53,18,1
"436",2005,"As Good As I Once Was","Toby Keith",80,20,1
"437",2007,"As If","Sara Evans",74,10,1
"438",2011,"As If We Never Said Goodbye","Glee Cast",80,1,1
"439",2013,"As Long As You Love Me","Justin Bieber Featuring Big Sean",87,29,2
"440",2013,"As Long As You Love Me (Acoustic)","Justin Bieber",98,1,1
"441",2011,"As Long As You're There","Glee Cast",93,1,1
"442",2011,"As She's Walking Away","Zac Brown Band Featuring Alan Jackson",77,20,1
"443",2000,"As We Lay","Kelly Price",82,8,1
"444",2013,"As Your Friend","Afrojack Featuring Chris Brown",88,3,1
"445",2005,"ASAP","T.I.",84,8,1
"446",2001,"Ashes By Now","Lee Ann Womack",74,17,1
"447",2017,"Ask Me How I Know","Garth Brooks",98,7,2
"448",2019,"ASMR","21 Savage",95,1,1
"449",2012,"Ass Back Home","Gym Class Heroes Featuring Neon Hitch",100,23,1
"450",2005,"Ass Like That","Eminem",83,7,1
